GTFS Stop ID,Complex ID,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,ADA,route_count
R01,1,Astoria-Ditmars Blvd,Q,N W,Elevated,40.775036,-73.912034,0,2
R03,2,Astoria Blvd,Q,N W,Elevated,40.770258,-73.917843,1,2
R04,3,30 Av,Q,N W,Elevated,40.766779,-73.921479,0,2
R05,4,Broadway,Q,N W,Elevated,40.76182,-73.925508,0,2
R06,5,36 Av,Q,N W,Elevated,40.756804,-73.929575,0,2
R08,6,39 Av-Dutch Kills,Q,N W,Elevated,40.752882,-73.932755,0,2
R11,613,Lexington Av/59 St,M,N R W,Subway,40.76266,-73.967258,0,3
R13,8,5 Av/59 St,M,N R W,Subway,40.764811,-73.973347,0,3
R14,9,57 St-7 Av,M,N Q R W,Subway,40.764664,-73.980658,1,4
R15,10,49 St,M,N R W,Subway,40.759901,-73.984139,2,3
R16,611,Times Sq-42 St,M,N Q R W,Subway,40.754672,-73.986754,1,4
R17,607,34 St-Herald Sq,M,N Q R W,Subway,40.749567,-73.98795,1,4
R18,13,28 St,M,R W,Subway,40.745494,-73.988691,0,2
R19,14,23 St,M,R W,Subway,40.741303,-73.989344,0,2
R20,602,14 St-Union Sq,M,N Q R W,Subway,40.735736,-73.990568,1,4
R21,16,8 St-NYU,M,R W,Subway,40.730328,-73.992629,0,2
R22,17,Prince St,M,R W,Subway,40.724329,-73.997702,0,2
R23,623,Canal St,M,R W,Subway,40.719527,-74.001775,0,2
Q01,623,Canal St,M,N Q,Subway,40.718383,-74.00046,0,2
R24,20,City Hall,M,R W,Subway,40.713282,-74.006978,0,2
R25,624,Cortlandt St,M,R W,Subway,40.710668,-74.011029,1,2
R26,22,Rector St,M,R W,Subway,40.70722,-74.013342,0,2
R27,635,Whitehall St-South Ferry,M,R W,Subway,40.703087,-74.012994,0,2
R28,620,Court St,Bk,R,Subway,40.6941,-73.991777,0,1
R29,636,Jay St-MetroTech,Bk,R,Subway,40.69218,-73.985942,1,1
R30,26,DeKalb Av,Bk,B Q R,Subway,40.690635,-73.981824,1,3
R31,617,Atlantic Av-Barclays Ctr,Bk,D N R,Subway,40.683666,-73.97881,1,3
R32,28,Union St,Bk,R,Subway,40.677316,-73.98311,0,1
R33,608,4 Av-9 St,Bk,R,Subway,40.670847,-73.988302,0,1
R34,30,Prospect Av,Bk,R,Subway,40.665414,-73.992872,0,1
R35,31,25 St,Bk,R,Subway,40.660397,-73.998091,0,1
R36,32,36 St,Bk,D N R,Subway,40.655144,-74.003549,0,3
R39,33,45 St,Bk,R,Subway,40.648939,-74.010006,0,1
R40,34,53 St,Bk,R,Subway,40.645069,-74.014034,0,1
R41,35,59 St,Bk,N R,Subway,40.641362,-74.017881,1,2
R42,36,Bay Ridge Av,Bk,R,Subway,40.634967,-74.023377,0,1
R43,37,77 St,Bk,R,Subway,40.629742,-74.02551,0,1
R44,38,86 St,Bk,R,Subway,40.622687,-74.028398,1,1
R45,39,Bay Ridge-95 St,Bk,R,Subway,40.616622,-74.030876,1,1
D24,617,Atlantic Av-Barclays Ctr,Bk,B Q,Subway,40.68446,-73.97689,1,2
D25,41,7 Av,Bk,B Q,Subway,40.67705,-73.972367,0,2
D26,42,Prospect Park,Bk,B Q S,Open Cut,40.661614,-73.962246,1,3
D27,43,Parkside Av,Bk,Q,Open Cut,40.655292,-73.961495,0,1
D28,44,Church Av,Bk,B Q,Open Cut,40.650527,-73.962982,1,2
D29,45,Beverley Rd,Bk,Q,Open Cut,40.644031,-73.964492,0,1
D30,46,Cortelyou Rd,Bk,Q,Open Cut,40.640927,-73.963891,0,1
D31,47,Newkirk Plaza,Bk,B Q,Open Cut,40.635082,-73.962793,0,2
D32,48,Avenue H,Bk,Q,Open Cut,40.62927,-73.961639,1,1
D33,49,Avenue J,Bk,Q,Open Cut,40.625039,-73.960803,0,1
D34,50,Avenue M,Bk,Q,Open Cut,40.617618,-73.959399,0,1
D35,51,Kings Hwy,Bk,B Q,Open Cut,40.60867,-73.957734,1,2
D37,52,Avenue U,Bk,Q,Open Cut,40.5993,-73.955929,0,1
D38,53,Neck Rd,Bk,Q,Open Cut,40.595246,-73.955161,0,1
D39,54,Sheepshead Bay,Bk,B Q,Open Cut,40.586896,-73.954155,1,2
D40,55,Brighton Beach,Bk,B Q,Elevated,40.577621,-73.961376,0,2
D41,56,Ocean Pkwy,Bk,Q,Elevated,40.576312,-73.968501,0,1
D42,57,W 8 St-NY Aquarium,Bk,F Q,Elevated,40.576127,-73.975939,0,2
D43,58,Coney Island-Stillwell Av,Bk,D F N Q,Viaduct,40.577422,-73.981233,1,4
B12,59,9 Av,Bk,D,Open Cut,40.646292,-73.994324,0,1
B13,60,Fort Hamilton Pkwy,Bk,D,Elevated,40.640914,-73.994304,0,1
B14,61,50 St,Bk,D,Elevated,40.63626,-73.994791,0,1
B15,62,55 St,Bk,D,Elevated,40.631435,-73.995476,0,1
B16,615,62 St,Bk,D,Elevated,40.626472,-73.996895,1,1
B17,64,71 St,Bk,D,Elevated,40.619589,-73.998864,0,1
B18,65,79 St,Bk,D,Elevated,40.613501,-74.00061,0,1
B19,66,18 Av,Bk,D,Elevated,40.607954,-74.001736,0,1
B20,67,20 Av,Bk,D,Elevated,40.604556,-73.998168,0,1
B21,68,Bay Pkwy,Bk,D,Elevated,40.601875,-73.993728,1,1
B22,69,25 Av,Bk,D,Elevated,40.597704,-73.986829,0,1
B23,70,Bay 50 St,Bk,D,Elevated,40.588841,-73.983765,0,1
N02,71,8 Av,Bk,N,Open Cut,40.635064,-74.011719,1,1
N03,72,Fort Hamilton Pkwy,Bk,N,Open Cut,40.631386,-74.005351,0,1
N04,615,New Utrecht Av,Bk,N,Open Cut,40.624842,-73.996353,1,1
N05,74,18 Av,Bk,N,Open Cut,40.620671,-73.990414,0,1
N06,75,20 Av,Bk,N,Open Cut,40.61741,-73.985026,0,1
N07,76,Bay Pkwy,Bk,N,Open Cut,40.611815,-73.981848,0,1
N08,77,Kings Hwy,Bk,N,Open Cut,40.603923,-73.980353,0,1
N09,78,Avenue U,Bk,N,Open Cut,40.597473,-73.979137,0,1
N10,79,86 St,Bk,N,Open Cut,40.592721,-73.97823,0,1
J12,80,121 St,Q,J Z,Elevated,40.700492,-73.828294,0,2
J13,81,111 St,Q,J,Elevated,40.697418,-73.836345,0,1
J14,82,104 St,Q,J Z,Elevated,40.695178,-73.84433,0,2
J15,83,Woodhaven Blvd,Q,J Z,Elevated,40.693879,-73.851576,1,2
J16,84,85 St-Forest Pkwy,Q,J,Elevated,40.692435,-73.86001,0,1
J17,85,75 St-Elderts Ln,Q,J Z,Elevated,40.691324,-73.867139,0,2
J19,86,Cypress Hills,Bk,J,Elevated,40.689941,-73.87255,0,1
J20,87,Crescent St,Bk,J Z,Elevated,40.683194,-73.873785,0,2
J21,88,Norwood Av,Bk,J Z,Elevated,40.68141,-73.880039,0,2
J22,89,Cleveland St,Bk,J,Elevated,40.679947,-73.884639,0,1
J23,90,Van Siclen Av,Bk,J Z,Elevated,40.678024,-73.891688,0,2
J24,91,Alabama Av,Bk,J Z,Elevated,40.676992,-73.898654,0,2
J27,621,Broadway Junction,Bk,J Z,Elevated,40.679498,-73.904512,0,2
J28,93,Chauncey St,Bk,J Z,Elevated,40.682893,-73.910456,0,2
J29,94,Halsey St,Bk,J,Elevated,40.68637,-73.916559,0,1
J30,95,Gates Av,Bk,J Z,Elevated,40.68963,-73.92227,0,2
J31,96,Kosciuszko St,Bk,J,Elevated,40.693342,-73.928814,0,1
M11,97,Myrtle Av,Bk,M J Z,Elevated,40.697207,-73.935657,0,3
M12,98,Flushing Av,Bk,M J,Elevated,40.70026,-73.941126,1,2
M13,99,Lorimer St,Bk,M J,Elevated,40.703869,-73.947408,0,2
M14,100,Hewes St,Bk,M J,Elevated,40.70687,-73.953431,0,2
M16,101,Marcy Av,Bk,M J Z,Elevated,40.708359,-73.957757,1,3
M18,625,Delancey St-Essex St,M,M J Z,Subway,40.718315,-73.987437,0,3
M19,103,Bowery,M,J Z,Subway,40.72028,-73.993915,0,2
M20,623,Canal St,M,J Z,Subway,40.718092,-73.999892,0,2
M21,622,Chambers St,M,J Z,Subway,40.713243,-74.003401,1,2
M22,628,Fulton St,M,J Z,Subway,40.710374,-74.007582,1,2
M23,107,Broad St,M,J Z,Subway,40.706476,-74.011056,0,2
M01,108,Middle Village-Metropolitan Av,Q,M,Elevated,40.711396,-73.889601,1,1
M04,109,Fresh Pond Rd,Q,M,Elevated,40.706186,-73.895877,0,1
M05,110,Forest Av,Q,M,Elevated,40.704423,-73.903077,0,1
M06,111,Seneca Av,Q,M,Elevated,40.702762,-73.90774,0,1
M08,630,Myrtle-Wyckoff Avs,Bk,M,Elevated,40.69943,-73.912385,1,1
M09,113,Knickerbocker Av,Bk,M,Elevated,40.698664,-73.919711,0,1
M10,114,Central Av,Bk,M,Elevated,40.697857,-73.927397,0,1
L01,618,8 Av,M,L,Subway,40.739777,-74.002578,1,1
L02,601,6 Av,M,L,Subway,40.737335,-73.996786,1,1
L03,602,14 St-Union Sq,M,L,Subway,40.734789,-73.99073,1,1
L05,118,3 Av,M,L,Subway,40.732849,-73.986122,0,1
L06,119,1 Av,M,L,Subway,40.730953,-73.981628,1,1
L08,120,Bedford Av,Bk,L,Subway,40.717304,-73.956872,1,1
L10,629,Lorimer St,Bk,L,Subway,40.714063,-73.950275,1,1
L11,122,Graham Av,Bk,L,Subway,40.714565,-73.944053,0,1
L12,123,Grand St,Bk,L,Subway,40.711926,-73.94067,1,1
L13,124,Montrose Av,Bk,L,Subway,40.707739,-73.93985,0,1
L14,125,Morgan Av,Bk,L,Subway,40.706152,-73.933147,0,1
L15,126,Jefferson St,Bk,L,Subway,40.706607,-73.922913,0,1
L16,127,DeKalb Av,Bk,L,Subway,40.703811,-73.918425,0,1
L17,630,Myrtle-Wyckoff Avs,Bk,L,Subway,40.699814,-73.911586,1,1
L19,129,Halsey St,Q,L,Subway,40.695602,-73.904084,0,1
L20,130,Wilson Av,Bk,L,Subway,40.688764,-73.904046,2,1
L21,131,Bushwick Av-Aberdeen St,Bk,L,Subway,40.682829,-73.905249,0,1
L22,621,Broadway Junction,Bk,L,Elevated,40.678856,-73.90324,0,1
L24,133,Atlantic Av,Bk,L,Elevated,40.675345,-73.903097,0,1
L25,134,Sutter Av,Bk,L,Elevated,40.669367,-73.901975,0,1
L26,135,Livonia Av,Bk,L,Elevated,40.664038,-73.900571,1,1
L27,136,New Lots Av,Bk,L,Elevated,40.658733,-73.899232,0,1
L28,137,East 105 St,Bk,L,At Grade,40.650573,-73.899485,0,1
L29,138,Canarsie-Rockaway Pkwy,Bk,L,At Grade,40.646654,-73.90185,1,1
S01,627,Franklin Av,Bk,S,Elevated,40.680596,-73.955827,1,1
S03,141,Park Pl,Bk,S,Open Cut,40.674772,-73.957624,1,1
S04,626,Botanic Garden,Bk,S,Open Cut,40.670343,-73.959245,0,1
A02,143,Inwood-207 St,M,A,Subway,40.868072,-73.919899,1,1
A03,144,Dyckman St,M,A,Subway,40.865491,-73.927271,0,1
A05,145,190 St,M,A,Subway,40.859022,-73.93418,0,1
A06,146,181 St,M,A,Subway,40.851695,-73.937969,1,1
A07,147,175 St,M,A,Subway,40.847391,-73.939704,1,1
A09,605,168 St,M,A C,Subway,40.840719,-73.939561,1,2
A10,149,163 St-Amsterdam Av,M,C,Subway,40.836013,-73.939892,0,1
A11,150,155 St,M,C,Subway,40.830518,-73.941514,0,1
